job_title,company_name,location,job_description,employment_type,posted_date,source,job_url,extracted_at
Assistant Director (Accounts),Punjab Government,"LAHORE, Punjab, Pakistan","Chartered Accountant (CA) / Chartered Management Accountant (CMA) with 2-year relevant experience. Or MBA (Finance), M. Com or equivalent from HEC recognized University with 3 years of relevant experience.",Full Time,,punjab,https://jobs.punjab.gov.pk/new_recruit/job_detail/assistant-director-accounts-1,2026-03-20T22:43:30.219997
Assistant Director (Finance),Punjab Government,"LAHORE, Punjab, Pakistan","Chartered Accountant (CA) / Chartered Management Accountant (CMA) with 2-year relevant experience. Or MBA (Finance), M. Com or equivalent from HEC recognized University with 3 years of relevant experience.",Full Time,,punjab,https://jobs.punjab.gov.pk/new_recruit/job_detail/assistant-director-finance-2,2026-03-20T22:43:30.760601
Assistant Director (Welfare),Punjab Government,"LAHORE, Punjab, Pakistan","Chartered Accountant (CA) / Chartered Management Accountant (CMA) with 2-year relevant experience. Or MBA (Finance), M. Com or equivalent from HEC recognized University with 3 years of relevant experience.",Full Time,,punjab,https://jobs.punjab.gov.pk/new_recruit/job_detail/assistant-director-welfare,2026-03-20T22:43:31.275262
Deputy Director (Governance Risk & Compliance),Punjab Government,"LAHORE, Punjab, Pakistan","Minimum 16 years of education in Information Security, Information Technology, Computer Science, Software Engineering, Electrical Engineering, Electronic Engineering or Cyber Security Discipline from an HEC-recognized university. Higher qualifications in related disciplines will be preferred. Experience: At least 05 years of post-qualification experience in Information Security Governance, Risk Management, Security Compliance, Security Auditing within large-scale national or international organizations. Prior experience in ISO 27001, CIS controls implementation will be an added advantage. Certification(s)",Full Time,,punjab,https://jobs.punjab.gov.pk/new_recruit/job_detail/deputy-director-governance-risk-compliance-1,2026-03-20T22:43:31.814180
Deputy Director (Offensive Security),Punjab Government,"LAHORE, Punjab, Pakistan","Minimum 16 years of education in Information Security, Information Technology, Computer Science, Software Engineering, Electrical engineering, Electronic engineering or Cyber Security Discipline from an HEC-recognized university. Higher qualifications in related disciplines will be preferred. Experience: At least 05 years of post-qualification experience in Vulnerability Management, Offensive Security, Red Teaming, Penetration Testing within large-scale national or international organizations. Certification(s)",Full Time,,punjab,https://jobs.punjab.gov.pk/new_recruit/job_detail/deputy-director-offensive-security-1,2026-03-20T22:43:32.331790
Assistant Director (Governance Risk & Compliance),Punjab Government,"LAHORE, Punjab, Pakistan","Minimum 16 years of education in Information Security, Information Technology, Computer Science, Software Engineering, Electrical engineering, Electronic engineering or Cyber Security Discipline from an HEC-recognized university. Higher qualifications in related disciplines will be preferred. Experience: At least 03 years of post-qualification experience in Information Security Governance, Risk Management, Security Compliance, and Security Auditing within large-scale national or international organizations. Hands-on experience with ISO 27001 will be considered an added advantage. Certification(s)",Full Time,,punjab,https://jobs.punjab.gov.pk/new_recruit/job_detail/assistant-director-governance-risk-compliance-1,2026-03-20T22:43:32.856188
Assistant Director (Penetration Testing & Red Teaming),Punjab Government,"LAHORE, Punjab, Pakistan","Minimum 16 years of education in Information Security, Information Technology, Computer Science, Software Engineering, Electrical engineering, Electronic engineering or Cyber Security Discipline from an HEC-recognized university. Higher qualifications in related disciplines will be preferred. Experience: At least 03 years of post-qualification experience in Cyber Security Assessment, Penetration Testing, Red Teaming within large-scale national or international organizations. Certification(s)",Full Time,,punjab,https://jobs.punjab.gov.pk/new_recruit/job_detail/assistant-director-penetration-testing-red-teaming-1,2026-03-20T22:43:33.369367
Assistant Director (Application Security Tester),Punjab Government,"LAHORE, Punjab, Pakistan","Minimum 16 years of education in Information Security, Information Technology, Computer Science, Software Engineering, Electrical Engineering, Electronic Engineering or Cyber Security Discipline from an HEC-recognized university. Higher qualifications in related disciplines will be preferred. Experience: At least 03 years of post-qualification experience in penetration testing, web application testing within large-scale national or international organizations. Certification(s)",Full Time,,punjab,https://jobs.punjab.gov.pk/new_recruit/job_detail/assistant-director-application-security-tester,2026-03-20T22:43:33.884470
Assistant Director (Security Operations Center)/L2 Analyst,Punjab Government,"LAHORE, Punjab, Pakistan","Minimum 16 years of education in Information Security, Information Technology, Computer Science, Software Engineering, Electrical Engineering, Electronic Engineering or Cyber Security Discipline from an HEC-recognized university. Higher qualifications in related disciplines will be preferred. Experience: At least 03 years of post-qualification experience in information/cyber security with SOC Role (Experience in Network Operations Center (NOC) will not be considered as Security Operations Center (SOC) experience), incident response, threat hunting, threat intelligence, malware research within large-scale national or international organizations. The candidate must have been working as L2/L1 SOC analyst for at least 2 years. Certification(s)",Full Time,,punjab,https://jobs.punjab.gov.pk/new_recruit/job_detail/assistant-director-security-operations-centerl2-analyst-1,2026-03-20T22:43:34.406797
Assistant Director (Digital Forensic & Incident Response),Punjab Government,"LAHORE, Punjab, Pakistan","Minimum 16 years of education in Information Security, Information Technology, Computer Science, Software Engineering, Electrical engineering, Electronic engineering or Cyber Security Discipline from an HEC-recognized university. Higher qualifications in related disciplines will be preferred. Experience: At least 03 years of post-qualification experience in Cyber Security, Information Security, Incident Response, Threat Hunting, Digital Forensic, Malware Research within large-scale national or international organizations. Certification(s)",Full Time,,punjab,https://jobs.punjab.gov.pk/new_recruit/job_detail/assistant-director-digital-forensic-incident-response-1,2026-03-20T22:43:34.927768
Assistant Director (Security Architect & Administrator),Punjab Government,"LAHORE, Punjab, Pakistan","Minimum 16 years of education in Information Security, Information Technology, Computer Science, Software Engineering, Electrical Engineering, Electronic Engineering or Cyber Security Discipline from an HEC-recognized university. Higher qualifications in related disciplines will be preferred. Experience: At least 03 years of post-qualification experience as an Infrastructure Administrator, Solutions Architect or similar role. Strong knowledge of network and system architecture and administration. Certification(s)",Full Time,,punjab,https://jobs.punjab.gov.pk/new_recruit/job_detail/assistant-director-security-architect-administrator-1,2026-03-20T22:43:35.444275
Assistant Director (Internal Information Security Audit),Punjab Government,"LAHORE, Punjab, Pakistan","Qualification: Minimum 16 years of education in Information Security, Information Technology, Computer Science, Software Engineering, Electrical engineering, Electronic engineering or Cyber Security Discipline from an HEC-recognized university. Higher qualifications in related disciplines will be preferred. Experience: At least 03 years of post-qualification experience in Cyber Security, Information Security Governance, Risk Management, Security Compliance, Security Auditing within large-scale national or international organizations. Certification(s)",Full Time,,punjab,https://jobs.punjab.gov.pk/new_recruit/job_detail/assistant-director-internal-information-security-audit,2026-03-20T22:43:35.957258
Manager Operations,Punjab Government,"D.G. KHAN RAWALPINDI, Punjab, Pakistan",Qualification: Master's degree in Management Sciences / Administration. DVM will be given preference. Experience: At least 5 years of relevant experience working in a private or public sector organization. Note: Candidates holding a domicile of the relevant division will be preferred.,Contract,,punjab,https://jobs.punjab.gov.pk/new_recruit/job_detail/manager-operations-17,2026-03-20T22:43:36.480747
Animation Specialist,Punjab Government,"LAHORE, Punjab, Pakistan","Create 2D/3D animations, motion graphics, and video content from concept to final delivery. Collaborate with creative, marketing, and product teams to develop visual assets for campaigns, websites, social media, and presentations. Edit raw video footage, add sound effects, music, voiceovers, and visual effects to enhance storytelling. Design visual elements such as titles, lower thirds, transitions, and infographics. Manage video shoots including planning, lighting, sound, and camera operation (if applicable). Maintain brand consistency across all video and animation materials. Optimize videos for various formats and platforms (YouTube, Instagram, LinkedIn, TikTok, etc.). Stay up-to-date with animation anideo trends, techniques, and software tools.",Contract,,punjab,https://jobs.punjab.gov.pk/new_recruit/job_detail/animation-specialist-10,2026-03-20T22:43:36.993296
Assistant Manager Marketing,Punjab Government,"LAHORE, Punjab, Pakistan","Develop and execute a comprehensive marketing and communications strategy for Accelerate Punjab, including brand positioning, digital campaigns, and public relations. Manage all marketing channels: social media, email newsletters, website content, print materials, and signage across centers. Coordinate promotional campaigns for startup application drives, Demo Days, and investor forums. Liaise with media outlets, craft press releases, and arrange interviews/panels for Accelerate Punjab leadership and selected entrepreneurs. Measure campaign effectiveness (e.g., reach, conversions, brand sentiment) and adjust tactics accordingly.",Contract,,punjab,https://jobs.punjab.gov.pk/new_recruit/job_detail/assistant-manager-marketing-4,2026-03-20T22:43:37.509013
Assistant Startup Growth Manager,Punjab Government,"LAHORE, Punjab, Pakistan","Support the Program Managers and Senior Program Managers in executing the incubation lifecycle for 15 startups per cycle at each of two assigned centers. Facilitate startup onboarding, induction workshops, and orientation sessions at the start of each cohort. Maintain incubator CRM/database: update startup profiles, track milestone achievements, and monitor stipend disbursements against attendance/KPI checklists. Coordinate legal/IP clinics, scheduling IPR Specialist consultations, and arranging seed grant disbursements upon milestone validation. Assist in arranging domain-specific mentoring sessions (e.g., AgriTech, CleanTech) by collaborating with Community & Research Analysts and external experts.",Contract,,punjab,https://jobs.punjab.gov.pk/new_recruit/job_detail/assistant-startup-growth-manager-1,2026-03-20T22:43:38.025178
Finance and Investment Manager,Punjab Government,"LAHORE, Punjab, Pakistan","Manage day-to-day operational logistics for all four sites (Lahore accelerator + three regional incubators). Oversee facility management: utilities, security, maintenance contracts, housekeeping, and procurement of office supplies Coordinate logistics for events (Demo Days, training sessions, investor forums), including venue setup, catering, transportation, and A/V support. Develop and maintain SOPs for operations, including safety protocols, inventory control, and vendor performance tracking. Liaise with the Finance team to track expenditures against operational budgets and ensure timely invoice processing",Contract,,punjab,https://jobs.punjab.gov.pk/new_recruit/job_detail/finance-and-investment-manager-1,2026-03-20T22:43:38.543683
IT Manager,Punjab Government,"LAHORE, Punjab, Pakistan","Oversee all IT infrastructure for the central accelerator and three regional incubation centers, including network architecture, servers, and connectivity. Manage high-speed internet provisioning, firewall/security appliances, and VPNs to ensure secure remote and on-site access. Coordinate hardware procurement (desktops, laptops, printers), installation, and maintenance; maintain an inventory of all IT assets. Provide technical support to startups (helpdesk, software installations, troubleshooting), and train cohort teams on common tools (e.g., version control, cloud services).",Contract,,punjab,https://jobs.punjab.gov.pk/new_recruit/job_detail/it-manager-4,2026-03-20T22:43:39.062990
Programme Officer,Punjab Government,"LAHORE, Punjab, Pakistan",Organize and conduct meetings with clients to jot down their requirements and draft an initial requirement document Follow up with departmental resources to expedite processes Close coordination with development team for implementation Work in liaison with client departments to facilitate them in resolving their queries pre and post launch Up-gradation and updating documents and web sites. To ensure timely resolution of issues. To act as PITB's focal person for the project. To coordinate with department for Data/ Information collection as per specified formats. To monitor the project and to ensure timely generation of all project progress reports.,Contract,,punjab,https://jobs.punjab.gov.pk/new_recruit/job_detail/programme-officer-244,2026-03-20T22:43:39.584072
Project Coordinator,Punjab Government,"ISLAMABAD, Punjab, Pakistan","Should have knowledge of relevant domains. A candidate with good communication skills and relevant experience in managing and delivering projects will be preferred. Organize and conduct meetings with clients to jot down their requirements and draft an initial requirement document Follow up with departmental resources to expedite processes Close coordination with the development team for implementation Work in liaison with client departments to facilitate them in resolving their queries pre and post-launch Any other task assigned by Management Proficiency with computers, especially MS Office.",Contract,,punjab,https://jobs.punjab.gov.pk/new_recruit/job_detail/project-coordinator-29,2026-03-20T22:43:40.091537
Business Analyst,Punjab Government,"ISLAMABAD, Punjab, Pakistan","Collecting information to identify needs analyze and document the requirement for business. Solving business problems and designing a technical solution. Assessing the impact of change. Perform risk analysis to evaluate possible dangers related to the implementation. Translating company requirements in a format that stakeholders can easily understand (user cases diagrams). Manage the project plan, communicate with developers, hold meetings to follow up and implement the solutions. Skills include stakeholder management, data modeling and knowledge of IT. Analyze large amount of data and other business processes to form ideas and fix problems. Communicate their ideas in an expressive way that is easy for the receiver to understand. Primary responsibility to come up with solutions to an organization's problems. Thorough research must be conducted about new processes and software to present results that are effective.",Contract,,punjab,https://jobs.punjab.gov.pk/new_recruit/job_detail/business-analyst-13,2026-03-20T22:43:40.609679
DevOps Engineer,Punjab Government,"LAHORE, Punjab, Pakistan","Install, configure, and maintain computer systems, servers, networks, and software applications. Monitor system performance, identify issues, and implement necessary solutions to ensure optimal performance and reliability. Administer user accounts, permissions, and access rights across various systems and applications. Perform regular security monitoring and implement security measures to protect systems and data from unauthorized access and cyber threats. Conduct system backups, recovery, and disaster recovery planning to ensure data integrity and business continuity. Install and configure software updates, patches, and security fixes to maintain system stability and security. Collaborate with cross-functional teams to assess technology needs, evaluate new hardware and software solutions, and make recommendations for system enhancements. Provide technical support and troubleshoot system and network issues, escalating problems as necessary and ensuring timely resolution. Monitor and manage system resources, including disk space, memory, and CPU utilization, to optimize performance and capacity.",Contract,,punjab,https://jobs.punjab.gov.pk/new_recruit/job_detail/devops-engineer-3,2026-03-20T22:43:41.119440
Programme Manager,Punjab Government,"LAHORE, Punjab, Pakistan","Identify goals and objectives of the project and report regularly to Sr. Programme Manager. Overall responsibility of the project functions to ensure successful deployment within allocated time, and designated cost. Manage Project Coordinators and Software Development Lead and Software Developers Devise a formal reporting mechanism for the designated team and give visibility to higher ups Manage relationship with client department(s) Overall responsible for successful delivery of the assigned projects/tasks",Contract,,punjab,https://jobs.punjab.gov.pk/new_recruit/job_detail/programme-manager-158,2026-03-20T22:43:41.631560
Manager,Punjab Government,"LAHORE, Punjab, Pakistan","Responsible for planning, directing and overseeing the operations. Responsible for overseeing and leading e-khidmat centre team. Lead employees to encourage employee contribution and includes goal setting, feedback, and performance development planning. Must have hands-on relevant project management experience with government, industry and / or Multinational Corporations. Must be fully proficient in PC Software's and skills. Must have good communication skills. Liaison with the client departments.",Contract,,punjab,https://jobs.punjab.gov.pk/new_recruit/job_detail/manager-3,2026-03-20T22:43:42.143241
Senior Programme Manager,Punjab Government,"LAHORE, Punjab, Pakistan","Responsible for overall delivery of the project. Coordinate with the client department, ensuring proper documentation and timely resolution of technical issues. Ensuring that optimal quality/standard are maintained by each corresponding roles. Taking decisions over phase wise strategic implementation of project. Ensuring that the strategy/deliverables are free from any constraints and Government rules and regulations are being followed throughout the program. Key Performance Indicators:",Contract,,punjab,https://jobs.punjab.gov.pk/new_recruit/job_detail/senior-programme-manager-118,2026-03-20T22:43:42.654357
Senior Software Engineer,Punjab Government,"LAHORE, Punjab, Pakistan",Responsible for delivery of all development targets and Quality Assurance of the software. Management of software artifacts and ensure that the deadlines are not compromised at any level. Ensuring that the software’s developed are free from bugs and error.,Contract,,punjab,https://jobs.punjab.gov.pk/new_recruit/job_detail/senior-software-engineer-100,2026-03-20T22:43:43.168780
Software Engineer,Punjab Government,"LAHORE, Punjab, Pakistan","Develop secure, scalable modules and services for the web-based GIS/MIS portal. Implement APIs, back-end logic, and integrations with GeoServer, PostGIS, and other spatial engines. Assist in consuming AI-detected violation datasets (raster & vector) through automated workflows. Develop front-end components, dashboards and interactive UI elements as required. Conduct unit testing, integration testing, debugging, and code optimization Support system deployment, release cycles, and environment configuration. Collaborate with GIS Developers, Sr. Developers, QA team, PMU stakeholders and planning teams",Contract,,punjab,https://jobs.punjab.gov.pk/new_recruit/job_detail/software-engineer-219,2026-03-20T22:43:43.710357
Programme Officer,Punjab Government,"All Punjab, Punjab, Pakistan",To ensure documentation and timely resolution of issues To coordinate with client department on Data/Information collection as per specified formats To ensure timely generation of relevant project reports Any other duty / responsibility as assigned from time to time,Contract,,punjab,https://jobs.punjab.gov.pk/new_recruit/job_detail/programme-officer-243,2026-03-20T22:43:44.225027
